tour_code,title,slug,image_folder_path,hero_image_path,overview_image_path,thumbnail_image_path,is_active
PHOT,Photography Tour,photography-tour,/assets/images/custom-tours/photography-tour/,/assets/images/custom-tours/photography-tour/hero.webp,/assets/images/custom-tours/photography-tour/overview.webp,/assets/images/custom-tours/photography-tour/thumbnail.webp,1
SCIE,Scientific Expeditions,scientific-expeditions,/assets/images/custom-tours/scientific-expeditions/,/assets/images/custom-tours/scientific-expeditions/hero.webp,/assets/images/custom-tours/scientific-expeditions/overview.webp,/assets/images/custom-tours/scientific-expeditions/thumbnail.webp,1
NOSHAQ,Noshaq Expedition Support,noshaq-expedition-support,/assets/images/custom-tours/noshaq-expedition-support/,/assets/images/custom-tours/noshaq-expedition-support/hero.webp,/assets/images/custom-tours/noshaq-expedition-support/thumbnail.webp,/assets/images/custom-tours/noshaq-expedition-support/thumbnail.webp,1
MEDIA,Media Support,media-support,/assets/images/custom-tours/media-support/,/assets/images/custom-tours/media-support/hero.webp,/assets/images/custom-tours/media-support/thumbnail.webp,/assets/images/custom-tours/media-support/thumbnail.webp,1
SKI,Ski Expeditions,ski-expeditions,/assets/images/custom-tours/ski-expeditions/,/assets/images/custom-tours/ski-expeditions/hero.webp,/assets/images/custom-tours/ski-expeditions/thumbnail.webp,/assets/images/custom-tours/ski-expeditions/thumbnail.webp,1
BIZ,Business & Investment,business-investment,/assets/images/custom-tours/business-investment/,/assets/images/custom-tours/business-investment/hero.webp,/assets/images/custom-tours/business-investment/thumbnail.webp,/assets/images/custom-tours/business-investment/thumbnail.webp,1
VET,Veteran Return,veteran-return,/assets/images/custom-tours/veteran-return/,/assets/images/custom-tours/veteran-return/hero.webp,/assets/images/custom-tours/veteran-return/thumbnail.webp,/assets/images/custom-tours/veteran-return/thumbnail.webp,1
CTME,Custom Expedition,custom-expedition,/assets/images/custom-tours/custom-expedition/,/assets/images/custom-tours/custom-expedition/hero.webp,/assets/images/custom-tours/custom-expedition/overview.webp,/assets/images/custom-tours/custom-expedition/overview.webp,1
TTWC,Trekking the Wakhan Corridor,trek-the-wakhan-corridor,/assets/images/custom-tours/trek-the-wakhan-corridor/,/assets/images/featured-tours/trek-the-wakhan-corridor/hero.webp,/assets/images/featured-tours/trek-the-wakhan-corridor/overview.webp,/assets/images/featured-tours/trek-the-wakhan-corridor/thumbnail.webp,0
